comparison,note,before_run,after_run,metric,before_value,after_value,delta_after_minus_before
tie_embeddings,tie_embeddings=False -> True,2,4,final_val_loss,5.763571500778198,5.755529403686523,-0.008042097091674805
tie_embeddings,tie_embeddings=False -> True,2,4,final_generalization_gap,0.053310513496398926,0.036219239234924316,-0.01709127426147461
tie_embeddings,tie_embeddings=False -> True,2,4,overfit_score,0.17463958263397217,0.17341935634613037,-0.0012202262878417969
activation_quick_gelu,activation_name=gelu -> quick_gelu,7,8,final_val_loss,5.754852533340454,5.75455904006958,-0.00029349327087402344
activation_quick_gelu,activation_name=gelu -> quick_gelu,7,8,final_generalization_gap,0.04696786403656006,0.04693174362182617,-3.612041473388672e-05
activation_quick_gelu,activation_name=gelu -> quick_gelu,7,8,overfit_score,0.13947045803070068,0.13937902450561523,-9.143352508544922e-05
context_length_48,context_length=64 -> 48,19,21,final_val_loss,5.754166841506958,5.724607149759929,-0.029559691747029326
context_length_48,context_length=64 -> 48,19,21,final_generalization_gap,0.03526628017425537,-0.0039515097935991506,-0.03921778996785452
context_length_48,context_length=64 -> 48,19,21,overfit_score,0.1705540418624878,0.0,-0.1705540418624878
ffn_mult_3,ffn_mult=4 -> 3,63,66,final_val_loss,5.544584592183431,5.541161855061849,-0.0034227371215820312
ffn_mult_3,ffn_mult=4 -> 3,63,66,final_generalization_gap,-0.0048071543375654,-0.000325004259745576,0.004482150077819824
ffn_mult_3,ffn_mult=4 -> 3,63,66,overfit_score,0.0,0.013246536254882812,0.013246536254882812
stride_rescue,seed303 rescue: stride=24 -> 16,85,86,final_val_loss,5.559609095255534,5.5559156735738116,-0.0036934216817225973
stride_rescue,seed303 rescue: stride=24 -> 16,85,86,final_generalization_gap,0.04233256975809763,0.013590892155964873,-0.028741677602132754
stride_rescue,seed303 rescue: stride=24 -> 16,85,86,overfit_score,0.15810060501098722,0.0657787322998038,-0.09232187271118342
max_steps_105,max_steps=100 -> 105,108,109,final_val_loss,5.536325136820476,5.533207734425862,-0.0031174023946132223
max_steps_105,max_steps=100 -> 105,108,109,final_generalization_gap,0.0038559834162397166,0.012854417165120147,0.00899843374888043
max_steps_105,max_steps=100 -> 105,108,109,overfit_score,0.022364656130473115,0.049359957377114405,0.02699530124664129
